eliminator,team1,neutralvenue,balls_per_over,outcome,venue,date,team2,player_of_match,winner_wickets,winner_runs,season,city,winner,match_number,toss_winner,toss_decision,matchId,team1_encoded,team2_encoded,toss_winner_encoded,winner_encoded,city_encoded,toss_decision_encoded
,Royal Challengers Bangalore,,6,,M Chinnaswamy Stadium,18-04-2008,Kolkata Knight Riders,BB McCullum,,140,2007/08,Bangalore,Kolkata Knight Riders,1,Royal Challengers Bangalore,field,335982,16,8,16,8,2,1
,Kings XI Punjab,,6,,"Punjab Cricket Association Stadium, Mohali",19-04-2008,Chennai Super Kings,MEK Hussey,,33,2007/08,Chandigarh,Chennai Super Kings,2,Chennai Super Kings,bat,335983,6,0,0,0,7,0
,Delhi Daredevils,,6,,Feroz Shah Kotla,19-04-2008,Rajasthan Royals,MF Maharoof,9,,2007/08,Delhi,Delhi Daredevils,3,Rajasthan Royals,bat,335984,3,13,13,3,10,0
,Mumbai Indians,,6,,Wankhede Stadium,20-04-2008,Royal Challengers Bangalore,MV Boucher,5,,2007/08,Mumbai,Royal Challengers Bangalore,5,Mumbai Indians,bat,335985,10,16,10,16,26,0
,Kolkata Knight Riders,,6,,Eden Gardens,20-04-2008,Deccan Chargers,DJ Hussey,5,,2007/08,Kolkata,Kolkata Knight Riders,4,Deccan Chargers,bat,335986,8,1,1,8,23,0
,Rajasthan Royals,,6,,Sawai Mansingh Stadium,21-04-2008,Kings XI Punjab,SR Watson,6,,2007/08,Jaipur,Rajasthan Royals,6,Kings XI Punjab,bat,335987,13,6,6,13,18,0
,Deccan Chargers,,6,,"Rajiv Gandhi International Stadium, Uppal",22-04-2008,Delhi Daredevils,V Sehwag,9,,2007/08,Hyderabad,Delhi Daredevils,7,Deccan Chargers,bat,335988,1,3,1,3,16,0
,Chennai Super Kings,,6,,"MA Chidambaram Stadium, Chepauk",23-04-2008,Mumbai Indians,ML Hayden,,6,2007/08,Chennai,Chennai Super Kings,8,Mumbai Indians,field,335989,0,10,10,0,8,1
,Deccan Chargers,,6,,"Rajiv Gandhi International Stadium, Uppal",24-04-2008,Rajasthan Royals,YK Pathan,3,,2007/08,Hyderabad,Rajasthan Royals,9,Rajasthan Royals,field,335990,1,13,13,13,16,1
,Kings XI Punjab,,6,,"Punjab Cricket Association Stadium, Mohali",25-04-2008,Mumbai Indians,KC Sangakkara,,66,2007/08,Chandigarh,Kings XI Punjab,10,Mumbai Indians,field,335991,6,10,10,6,7,1
,Royal Challengers Bangalore,,6,,M Chinnaswamy Stadium,26-04-2008,Rajasthan Royals,SR Watson,7,,2007/08,Bangalore,Rajasthan Royals,12,Rajasthan Royals,field,335992,16,13,13,13,2,1
,Chennai Super Kings,,6,,"MA Chidambaram Stadium, Chepauk",26-04-2008,Kolkata Knight Riders,JDP Oram,9,,2007/08,Chennai,Chennai Super Kings,11,Kolkata Knight Riders,bat,335993,0,8,8,0,8,0
,Mumbai Indians,,6,,Dr DY Patil Sports Academy,27-04-2008,Deccan Chargers,AC Gilchrist,10,,2007/08,Mumbai,Deccan Chargers,14,Deccan Chargers,field,335994,10,1,1,1,26,1
,Kings XI Punjab,,6,,"Punjab Cricket Association Stadium, Mohali",27-04-2008,Delhi Daredevils,SM Katich,4,,2007/08,Chandigarh,Kings XI Punjab,13,Delhi Daredevils,bat,335995,6,3,3,6,7,0
,Royal Challengers Bangalore,,6,,M Chinnaswamy Stadium,28-04-2008,Chennai Super Kings,MS Dhoni,,13,2007/08,Bangalore,Chennai Super Kings,15,Chennai Super Kings,bat,335996,16,0,0,0,2,0
,Kolkata Knight Riders,,6,,Eden Gardens,29-04-2008,Mumbai Indians,ST Jayasuriya,7,,2007/08,Kolkata,Mumbai Indians,16,Kolkata Knight Riders,bat,335997,8,10,8,10,23,0
,Delhi Daredevils,,6,,Feroz Shah Kotla,30-04-2008,Royal Challengers Bangalore,GD McGrath,,10,2007/08,Delhi,Delhi Daredevils,17,Royal Challengers Bangalore,field,335998,3,16,16,3,10,1
,Deccan Chargers,,6,,"Rajiv Gandhi International Stadium, Uppal",01-05-2008,Kings XI Punjab,SE Marsh,7,,2007/08,Hyderabad,Kings XI Punjab,19,Kings XI Punjab,field,335999,1,6,6,6,16,1
,Rajasthan Royals,,6,,Sawai Mansingh Stadium,01-05-2008,Kolkata Knight Riders,SA Asnodkar,,45,2007/08,Jaipur,Rajasthan Royals,18,Rajasthan Royals,bat,336000,13,8,13,13,18,0
,Chennai Super Kings,,6,,"MA Chidambaram Stadium, Chepauk",02-05-2008,Delhi Daredevils,V Sehwag,8,,2007/08,Chennai,Delhi Daredevils,20,Chennai Super Kings,bat,336001,0,3,0,3,8,0
,Kings XI Punjab,,6,,"Punjab Cricket Association Stadium, Mohali",03-05-2008,Kolkata Knight Riders,IK Pathan,,9,2007/08,Chandigarh,Kings XI Punjab,22,Kings XI Punjab,bat,336003,6,8,6,6,7,0
